ques,skill
824,73
62,64
578,65
691,78
874,78
819,32
293,2
65,84
707,78
205,23
681,78
153,81
339,78
389,78
603,7
794,69
381,2
956,78
1071,78
928,34
172,35
24,52
98,7
252,69
315,64
553,39
818,32
1045,78
528,63
628,35
663,49
19,39
493,36
232,32
946,78
993,78
372,61
444,85
1061,78
263,49
473,8
1009,78
443,67
198,69
9,39
363,6
75,71
999,78
1032,57
643,67
1051,78
1019,21
1144,48
564,1
255,26
595,69
325,78
8,18
30,69
382,62
989,78
1119,35
866,78
829,58
374,64
1041,78
485,67
808,78
1031,78
130,70
26,23
369,61
408,17
520,54
577,59
272,2
673,78
1104,66
245,36
314,62
256,69
1015,21
142,9
103,61
226,37
279,45
1021,69
251,23
679,78
353,67
416,64
712,78
653,78
199,70
155,25
196,68
233,72
588,39
1108,63
728,78
17,24
718,78
669,78
943,78
394,35
295,2
917,78
308,26
765,49
44,46
734,78
708,78
412,72
933,78
289,72
540,47
124,46
105,50
168,49
340,78
496,82
246,34
544,0
1082,78
923,78
138,16
908,39
21,55
897,78
1056,78
434,17
790,78
56,46
330,78
209,54
592,32
536,12
1072,78
273,48
913,78
1062,78
853,78
70,4
95,4
51,71
147,26
447,69
254,23
1030,64
1078,78
148,29
270,59
144,21
795,68
843,78
1052,78
67,71
336,78
590,40
276,48
326,78
487,67
527,81
1132,21
1068,78
581,7
781,58
833,78
1042,78
200,62
190,49
224,43
23,64
700,78
804,22
240,78
674,78
1020,69
621,1
839,78
872,78
574,0
108,77
813,78
618,38
690,78
737,78
407,34
1007,21
471,78
399,72
63,84
753,78
997,78
455,2
194,26
468,26
743,78
954,78
458,80
1121,17
1043,78
301,81
798,69
154,71
733,78
944,78
1014,31
547,59
1059,78
934,78
481,2
634,56
141,55
749,78
320,45
900,80
264,9
28,34
312,3
84,71
234,56
620,17
924,78
950,78
313,2
131,7
409,85
66,14
1039,78
1049,78
210,65
329,39
772,42
940,78
987,78
864,78
1055,78
676,27
854,78
128,70
87,46
11,1
413,65
283,5
192,35
687,78
774,58
977,78
1128,59
870,78
598,67
661,78
446,0
844,78
509,62
483,55
563,69
546,23
677,78
860,78
651,78
834,78
269,85
384,34
7,9
404,45
667,78
436,34
580,79
850,78
641,78
32,18
915,78
921,24
402,7
531,56
759,38
31,64
347,67
488,5
657,78
776,58
931,78
647,78
905,78
275,48
445,20
626,5
632,80
754,78
137,55
420,26
429,49
1080,78
1070,78
191,35
911,78
207,69
788,78
549,35
71,84
328,78
1086,78
927,78
1060,78
385,36
851,78
562,39
1141,30
593,35
86,71
510,16
615,80
334,78
1017,21
1114,48
1076,78
914,64
1050,78
475,52
537,49
841,78
811,5
150,59
1149,72
76,71
474,35
324,78
503,9
1066,78
258,3
1040,78
797,68
14,2
357,2
847,78
698,78
425,65
94,85
555,30
644,6
672,78
176,35
1013,21
466,49
82,71
837,78
761,78
335,39
542,69
688,78
751,78
257,65
678,78
43,7
830,73
694,78
741,78
482,64
952,78
80,0
763,49
668,78
459,78
942,78
386,78
552,4
757,78
361,65
731,78
766,32
541,62
958,78
658,78
569,38
932,78
508,34
514,64
47,71
250,49
747,78
490,61
1010,21
721,78
948,78
995,78
461,55
96,85
922,78
418,85
440,58
291,53
938,78
985,78
438,61
878,78
323,48
1085,78
2,69
852,78
111,49
1003,42
351,61
6,71
244,25
793,68
110,30
1001,78
1101,78
991,78
237,79
868,78
659,78
181,35
307,2
842,78
261,2
359,2
675,78
68,71
858,78
197,42
649,78
427,69
297,2
817,42
491,41
146,59
266,46
236,17
665,78
1006,32
85,70
360,6
655,78
848,78
838,78
762,78
561,7
115,48
671,78
346,67
500,1
125,64
645,78
533,48
1146,49
174,35
752,78
152,85
1135,17
182,35
423,35
535,62
133,48
126,46
775,58
901,17
72,0
262,0
25,7
129,79
559,11
395,26
983,78
278,39
476,78
957,78
511,35
498,84
145,79
271,76
306,64
419,79
139,17
1033,64
748,78
973,78
441,69
684,7
376,48
769,49
221,65
637,33
1048,78
450,2
292,2
610,5
391,34
41,58
356,39
235,81
42,49
431,2
388,69
175,35
1054,78
1139,80
368,34
183,35
696,78
1002,78
151,26
601,52
305,26
364,61
604,7
686,78
893,78
902,17
835,78
165,35
809,78
173,35
370,2
397,25
530,34
608,56
702,78
584,49
319,85
109,85
228,11
383,65
692,78
739,78
770,49
666,78
613,49
760,38
755,78
77,70
38,34
375,85
682,78
101,64
215,65
729,78
656,78
160,35
469,39
217,54
596,78
828,58
253,81
504,30
532,23
630,23
745,78
735,78
570,35
640,39
1046,78
166,35
453,78
248,35
571,42
586,78
123,11
54,29
920,78
287,20
1034,64
1011,42
259,49
994,78
379,64
936,78
517,68
1109,78
548,6
1036,78
926,78
1083,78
576,78
801,78
400,2
1099,78
594,50
907,24
624,46
1073,78
1145,55
1035,48
840,78
1118,44
78,69
1143,60
568,48
1089,78
486,85
856,78
1079,78
1113,64
566,39
439,65
846,78
1023,21
337,78
457,12
167,35
524,34
93,71
1095,78
862,78
1069,78
286,34
836,78
617,23
631,35
189,12
367,61
22,39
575,55
727,78
1022,69
378,71
701,78
366,34
1016,21
10,41
34,58
587,48
1096,78
502,23
1134,48
717,78
12,39
815,32
918,78
773,58
823,32
494,35
214,65
49,46
299,83
518,16
756,78
380,5
157,81
981,78
512,64
1025,21
558,16
955,78
451,64
780,58
1012,21
282,35
572,35
345,7
0,49
33,69
204,69
746,78
971,78
58,71
898,78
945,78
627,72
20,26
411,55
616,35
201,2
156,23
961,78
1138,17
614,35
118,4
884,78
951,78
550,24
4,67
371,64
99,71
802,78
516,1
452,30
1005,32
1000,78
827,58
967,78
1100,78
891,78
941,78
106,16
280,48
865,78
529,1
422,53
89,71
316,85
36,23
260,25
1116,78
73,4
1120,9
50,62
881,78
1090,78
871,78
143,24
460,59
241,74
635,50
1106,78
1126,21
472,14
664,78
887,78
288,5
930,3
861,78
609,29
800,67
738,78
352,34
424,26
1029,62
355,47
680,78
611,3
670,78
826,58
877,78
638,9
74,70
779,73
338,39
243,3
185,35
899,17
1044,78
554,2
284,5
551,78
193,35
525,78
992,78
164,49
406,69
778,18
982,78
600,78
1107,78
1081,78
405,71
1131,83
583,34
998,78
789,78
430,49
219,65
463,13
348,62
972,78
1097,78
268,45
16,30
203,2
1087,78
321,68
805,78
814,32
988,78
758,38
526,35
1103,78
392,48
962,78
449,33
1077,78
113,69
45,46
149,22
310,17
186,35
662,78
1093,78
519,30
892,78
1067,78
1111,15
785,78
807,55
285,59
725,78
5,9
433,9
652,78
699,78
882,78
903,56
247,64
715,78
410,39
689,78
534,64
916,78
426,2
18,23
238,81
90,46
1018,21
373,85
60,43
206,62
1004,32
91,47
169,8
37,39
213,65
304,2
428,12
454,1
607,69
705,78
695,78
906,78
953,78
979,78
1142,40
349,67
159,35
61,4
579,4
187,35
1037,39
81,47
1147,22
744,78
711,78
545,35
969,78
685,78
896,78
959,78
606,22
343,78
177,35
377,64
462,26
975,78
633,35
949,78
208,69
333,78
296,64
636,22
825,58
965,78
1098,78
317,2
300,62
585,17
889,78
354,47
417,42
879,78
771,49
939,78
281,9
806,78
195,2
112,69
1088,78
895,78
401,65
188,35
415,81
464,33
499,69
869,78
3,7
140,55
1133,42
403,62
1094,78
885,78
178,35
543,71
812,78
435,61
127,4
736,78
859,78
786,78
1112,7
726,78
978,7
875,78
849,78
230,5
742,78
1140,48
478,12
538,59
716,78
116,35
821,32
134,11
88,70
910,48
1027,85
732,78
1130,20
505,35
706,78
980,78
398,11
796,69
816,42
229,75
1124,8
290,72
722,78
996,78
787,78
506,2
218,69
782,58
970,78
1136,59
1038,78
52,47
803,78
623,12
883,78
1117,17
986,78
40,45
960,78
393,41
1028,78
1075,78
1123,72
565,10
589,61
622,85
976,78
783,78
1129,24
660,78
1091,78
966,78
470,35
777,58
947,50
890,78
448,85
15,23
136,55
212,54
121,18
599,75
1024,21
1065,78
1115,84
107,35
220,54
723,78
764,3
650,78
421,26
697,78
880,78
489,51
29,26
556,35
713,78
484,6
1125,16
222,78
79,62
703,78
92,22
886,78
1137,21
719,78
646,78
693,78
904,78
876,78
387,74
792,69
120,26
709,78
365,39
467,3
100,35
683,78
560,78
515,49
492,9
358,14
341,78
318,64
161,12
573,62
582,11
597,33
1057,78
239,11
1047,78
135,69
46,47
1105,67
331,78
231,81
963,78
267,48
497,5
265,0
274,45
605,82
629,78
309,64
768,32
937,78
64,46
1063,78
69,7
132,4
223,69
820,32
294,2
179,35
1102,78
1053,78
362,61
822,42
39,40
1122,59
867,78
327,78
55,69
277,59
117,65
114,69
1092,78
311,2
831,58
612,77
48,22
396,18
480,6
810,78
1,9
857,78
750,78
602,39
784,78
302,23
432,18
724,78
322,48
27,58
442,78
873,78
912,48
863,78
740,78
344,67
619,33
227,28
714,78
97,64
211,65
437,39
495,78
1064,59
1110,63
507,64
479,11
158,26
521,78
102,72
180,35
522,68
350,67
704,78
730,78
35,1
303,64
832,58
929,78
919,78
162,35
184,12
720,78
642,5
799,67
170,35
567,39
523,38
710,78
501,78
968,78
935,78
909,78
83,71
591,64
57,71
342,78
984,78
225,19
557,39
1084,78
974,78
202,55
925,78
1058,78
465,78
414,24
791,68
639,43
513,24
332,78
104,12
990,78
59,47
1074,78
625,33
964,78
888,78
855,78
1008,32
298,84
390,59
456,81
122,45
53,71
242,11
119,39
216,42
539,35
767,42
13,1
648,78
163,35
894,78
845,78
1026,21
171,35
1148,22
654,78
477,69
1127,2
249,23
